anthropic_task,anthropic_norm,onet_match_norm,score
assess the nature and level of threats so that the scope of the problem can be determined.,assess the nature and level of threats so that the scope of the problem can be determined,assess the nature and level of physical security threats so that the scope of the problem can be determined,90.81632653061224
"attend to the needs of the bereaved, such as by offering comfort, counseling, or after care programs.",attend to the needs of the bereaved such as by offering comfort counseling or after care programs,attend to the needs of the bereaved such as by offering comfort counseling or aftercare programs,99.48186528497409
"book transportation and hotel reservations, using computer terminal or telephone.",book transportation and hotel reservations using computer terminal or telephone,book transportation and hotel reservations using computer or telephone,93.95973154362416
"break systems into their component parts, assign numerical values to each component, and examine the mathematical relationships between them.",break systems into their component parts assign numerical values to each component and examine the mathematical relationships between them,break systems into their components assign numerical values to each component and examine the mathematical relationships between them,98.1549815498155
call by telephone to deliver verbal messages.,call by telephone to deliver verbal messages,use telephone to deliver verbal messages,88.09523809523809
call on prospective customers to explain company services or to solicit new business.,call on prospective customers to explain company services or to solicit new business,contact prospective or existing customers to discuss how services can meet their needs,60.0
"care for children or elderly persons by overseeing their activities, providing companionship, and assisting them with dressing, bathing, eating, and other needs.",care for children or elderly persons by overseeing their activities providing companionship and assisting them with dressing bathing eating and other needs,provide for physical safety of groups performing such activities as providing first aid or directing emergency evacuations,52.70758122743682
check and analyze operating system or application logfiles regularly to verify proper system performance.,check and analyze operating system or application logfiles regularly to verify proper system performance,check and analyze operating system or application log files regularly to verify proper system performance,99.52153110047847
"collect and analyze security data to determine security needs, security program goals, or program accomplishments.",collect and analyze security data to determine security needs security program goals or program accomplishments,collect and evaluate data to determine community program needs,60.11560693641618
"collect information about clients, using techniques such as testing, interviewing, discussion, and observation.",collect information about clients using techniques such as testing interviewing discussion and observation,collect information about clients using techniques such as testing interviewing discussion or observation,97.6303317535545
"collect, record, and maintain patient information, such as medical histories, reports, and examination results.",collect record and maintain patient information such as medical histories reports and examination results,collect record and maintain patient information such as medical histories reports or examination results,97.60765550239235
"collect, record, and maintain patient information, such as medical history, reports, and examination results.",collect record and maintain patient information such as medical history reports and examination results,collect record and maintain patient information such as medical history reports or examination results,97.5609756097561
"communicate technical or marketing information about distance learning via podcasts, webinars, and other technologies.",communicate technical or marketing information about distance learning via podcasts webinars and other technologies,communicate with customers and vendors to exchange information regarding products materials and services,58.44748858447488
"communicate to faculty, students, or other users availability of, or changes to, distance learning courses or materials, programs, services, or applications.",communicate to faculty students or other users availability of or changes to distance learning courses or materials programs services or applications,communicate with customers and vendors to exchange information regarding products materials and services,56.126482213438734
"compile cue words and phrases and cue announcers, cast members, and technicians during performances.",compile cue words and phrases and cue announcers cast members and technicians during performances,meet with soloists and concertmasters to discuss and prepare for performances,54.02298850574713
"compile data for use in activities such as gene expression profiling, genome annotation, and structural bioinformatics.",compile data for use in activities such as gene expression profiling genome annotation and structural bioinformatics,compile data for use in activities such as gene expression profiling genome annotation or structural bioinformatics,97.83549783549783
compile information on governmental incentive programs related to the installation of energy or water saving plumbing systems or devices.,compile information on governmental incentive programs related to the installation of energy or water saving plumbing systems or devices,compile information on content and context of information to be translated and on intended audience,57.02127659574467
compile information or prepare reports on nanotechnology experiments or applications.,compile information or prepare reports on nanotechnology experiments or applications,compile and prepare reports and documents pertaining to personnel activities,58.75
"compute data such as gear dimensions and machine settings, applying knowledge of shop mathematics.",compute data such as gear dimensions and machine settings applying knowledge of shop mathematics,compute data such as gear dimensions or machine settings applying knowledge of shop mathematics,97.38219895287958
"conduct and score oral, visual, written, or performance tests to determine applicant qualifications and notify applicants of their scores.",conduct and score oral visual written or performance tests to determine applicant qualifications and notify applicants of their scores,administer oral written or performance tests to measure progress and to evaluate training effectiveness,56.540084388185655
"conduct demonstrations to teach such skills as sports, dancing, and handicrafts.",conduct demonstrations to teach such skills as sports dancing and handicrafts,conduct demonstrations to teach skills such as sports dancing and handicrafts,93.5064935064935
"conduct or oversee collection of corporate intelligence to avoid fraud, financial crime, cyber-attack, terrorism, and infrastructure failure.",conduct or oversee collection of corporate intelligence to avoid fraud financial crime cyberattack terrorism and infrastructure failure,conduct or oversee collection of corporate intelligence to avoid fraud financial crime cyber attack terrorism and infrastructure failure,99.63099630996311
"conduct research on consumer opinions and buying habits, and identify target audiences for green products, services, or technologies.",conduct research on consumer opinions and buying habits and identify target audiences for green products services or technologies,conduct research on consumer opinions and buying habits and identify target audiences for products services or technologies,97.61904761904762
"conduct research to identify the goals, net worth, history of charitable donations, or other data related to potential donors, potential investors, or general donor markets.",conduct research to identify the goals net worth history of charitable donations or other data related to potential donors potential investors or general donor markets,conduct research to identify the goals net worth charitable donation history or other data related to potential donors potential investors or general donor markets,94.54545454545455
confer with clients to provide marketing or technical advice.,confer with clients to provide marketing or technical advice,confer with clients to develop plans for posttreatment activities,64.0
"confer with systems analysts, engineers, programmers and others to design system and to obtain information on project limitations and capabilities, performance requirements and interfaces.",confer with systems analysts engineers programmers and others to design system and to obtain information on project limitations and capabilities performance requirements and interfaces,confer with systems analysts engineers programmers and others to design systems and to obtain information on project limitations and capabilities performance requirements and interfaces,99.7289972899729
consult with customers about software system design and maintenance.,consult with customers about software system design and maintenance,consult with customers or other departments on project status proposals or technical issues such as software system design or maintenance,61.76470588235294
contact customers to persuade them to purchase merchandise or services.,contact customers to persuade them to purchase merchandise or services,persuade customers to purchase merchandise or services,75.80645161290323
"contact prospective customers to determine customer needs, present information, or explain available services.",contact prospective customers to determine customer needs present information or explain available services,contact prospective customers to present information and explain available services,84.21052631578947
coordinate due diligence processes and the negotiation or execution of purchase or sale agreements.,coordinate due diligence processes and the negotiation or execution of purchase or sale agreements,monitor patients progress and provide ongoing observation of hearing or balance status,55.434782608695656
correspond with insured or agent to obtain information or inform them of account status or changes.,correspond with insured or agent to obtain information or inform them of account status or changes,correspond with insured or agent to obtain information or to inform them of account status or changes,98.49246231155779
"counsel individuals and groups regarding problems, such as stress, substance abuse, and family situations, to modify behavior or to improve personal, social, and vocational adjustment.",counsel individuals and groups regarding problems such as stress substance abuse and family situations to modify behavior or to improve personal social and vocational adjustment,counsel individuals or groups to help them understand and overcome personal social or behavioral problems affecting their educational or vocational situations,55.52238805970149
"counsel individuals to help them understand and overcome personal, social, or behavioral problems affecting their educational or vocational situations.",counsel individuals to help them understand and overcome personal social or behavioral problems affecting their educational or vocational situations,counsel individuals or groups to help them understand and overcome personal social or behavioral problems affecting their educational or vocational situations,96.73202614379085
"design and direct nuclear research projects to discover facts, to test or modify theoretical models, or to develop new theoretical models or new uses for current models.",design and direct nuclear research projects to discover facts to test or modify theoretical models or to develop new theoretical models or new uses for current models,design or direct nuclear research projects to develop test modify or discover new uses for theoretical models,68.36363636363636
"design and implement web site security measures, such as firewalls or message encryption.",design and implement web site security measures such as firewalls or message encryption,design and implement web site security measures such as firewalls and message encryption,97.14285714285714
"design information storage and retrieval systems and develop procedures for collecting, organizing, interpreting, and classifying information.",design information storage and retrieval systems and develop procedures for collecting organizing interpreting and classifying information,observe interview and survey employees and conduct focus group meetings to collect job organizational and occupational information,55.223880597014926
"design or develop software systems, using scientific analysis and mathematical models to predict and measure outcome and consequences of design.",design or develop software systems using scientific analysis and mathematical models to predict and measure outcome and consequences of design,design develop and modify software systems using scientific analysis and mathematical models to predict and measure outcomes and consequences of design,94.88054607508532
"design security policies, programs, or practices to ensure adequate security relating to issues such as protection of assets, alarm response, and access card use.",design security policies programs or practices to ensure adequate security relating to issues such as protection of assets alarm response and access card use,design security policies programs or practices to ensure adequate security relating to alarm response access card use and other security needs,78.26086956521739
"design silver articles, such as jewelry and serving pieces.",design silver articles such as jewelry and serving pieces,design electrical systems such as lighting systems,57.94392523364487
"design, develop and modify software systems, using scientific analysis and mathematical models to predict and measure outcome and consequences of design.",design develop and modify software systems using scientific analysis and mathematical models to predict and measure outcome and consequences of design,design develop and modify software systems using scientific analysis and mathematical models to predict and measure outcomes and consequences of design,99.66777408637874
"determine a published or broadcasted story's emphasis, length, and format and organize material accordingly.",determine a published or broadcasted storys emphasis length and format and organize material accordingly,determine a published or broadcasted storys emphasis length and format organizing material accordingly,96.11650485436894
develop an understanding of fields to which statistical methods are to be applied to determine whether methods and results are appropriate.,develop an understanding of fields to which statistical methods are to be applied to determine whether methods and results are appropriate,develop an understanding of customers needs and take actions to ensure that such needs are met,56.896551724137936
"develop and direct software system testing and validation procedures, programming, and documentation.",develop and direct software system testing and validation procedures programming and documentation,develop or direct software system testing or validation procedures programming or documentation,92.2279792746114
develop and maintain course websites.,develop and maintain course websites,develop and maintain course web sites,98.63013698630137
"develop communications materials, advertisements, presentations, or public relations initiatives to promote awareness of green products and technologies.",develop communications materials advertisements presentations or public relations initiatives to promote awareness of green products and technologies,develop communications materials advertisements presentations or public relations initiatives to promote awareness of products and services,93.75
"develop data model describing data elements and how they are used, following procedures and using pen, template or computer software.",develop data model describing data elements and how they are used following procedures and using pen template or computer software,develop data models describing data elements and how they are used following procedures and using pen template or computer software,99.61685823754789
develop instructional materials and products for technology-based redesign of courses.,develop instructional materials and products for technologybased redesign of courses,develop instructional materials and conduct inservice and communitybased educational programs,68.92655367231639
develop instructional materials to be used by educators and instructors.,develop instructional materials to be used by educators and instructors,develop instructional materials such as lesson plans handouts or examinations,66.21621621621621
"develop interview techniques, rating scales, and psychological tests used to assess skills, abilities, and interests for the purpose of employee selection, placement, and promotion.",develop interview techniques rating scales and psychological tests used to assess skills abilities and interests for the purpose of employee selection placement and promotion,develop interview techniques rating scales and psychological tests used to assess skills abilities and interests for the purpose of employee selection placement or promotion,98.55907780979827
"develop lists of prospective clients from sources such as newspaper items, company records, local merchants, or customers.",develop lists of prospective clients from sources such as newspaper items company records local merchants or customers,fill tanks of processing machines with solutions such as developer dyes stopbaths fixers bleaches or washes,54.222222222222214
"develop marketing materials, proposals, or presentation to generate new work opportunities.",develop marketing materials proposals or presentation to generate new work opportunities,develop marketing materials proposals or presentations to generate new work opportunities,99.43502824858757
develop or direct software system testing or validation procedures.,develop or direct software system testing or validation procedures,develop or direct software system testing or validation procedures programming or documentation,81.98757763975155
"develop or manage integrated security controls to ensure confidentiality, accountability, recoverability, or audit ability of sensitive information, proprietary information, or information technology resources.",develop or manage integrated security controls to ensure confidentiality accountability recoverability or audit ability of sensitive information proprietary information or information technology resources,develop strategies policies or procedures for introducing evaluating or modifying information technology applied to nursing practice administration education or research,49.865951742627345
"develop or provide technical resources, such as course management and videoconferencing systems, networking, and webcasting, for distance learning programs.",develop or provide technical resources such as course management and videoconferencing systems networking and webcasting for distance learning programs,review financial records such as income statements and documentation of expenditures to determine forms needed to prepare tax returns,53.52112676056338
"develop preproduction ideas and incorporate them into outlines, scripts, story boards, and graphics.",develop preproduction ideas and incorporate them into outlines scripts story boards and graphics,plan and develop preproduction ideas into outlines scripts story boards and graphics using own ideas or specifications of assignments,65.50218340611353
"develop prospects from current commercial customers, referral leads, or sales or trade meetings.",develop prospects from current commercial customers referral leads or sales or trade meetings,answer inquiries from current or prospective customers regarding methods materials or price ranges,58.63874345549738
develop software applications or programming to use for statistical modeling and graphic analysis.,develop software applications or programming to use for statistical modeling and graphic analysis,develop software applications or programming for statistical modeling and graphic analysis,96.2566844919786
develop standards and guidelines to guide the use and acquisition of software and to protect vulnerable information.,develop standards and guidelines to guide the use and acquisition of software and to protect vulnerable information,develop standards and guidelines for the use and acquisition of software and to protect vulnerable information,96.0
"develop tests, questionnaires, and procedures that measure the effectiveness of curricula and use these tools to determine whether program objectives are being met.",develop tests questionnaires and procedures that measure the effectiveness of curricula and use these tools to determine whether program objectives are being met,check the appearance of costumes on stage or under lights to determine whether desired effects are being achieved,53.284671532846716
"develop, maintain, and analyze budgets, preparing periodic reports that compare budgeted costs to actual costs.",develop maintain and analyze budgets preparing periodic reports that compare budgeted costs to actual costs,develop maintain or analyze budgets preparing periodic reports that compare budgeted costs to actual costs,97.65258215962442
"develop, recommend, or manage security procedures for operations or processes, such as security call centers, system acquisition, development, and maintenance, access control, program models, or reporting tools.",develop recommend or manage security procedures for operations or processes such as security call centers system acquisition development and maintenance access control program models or reporting tools,develop recommend or manage security procedures for operations or processes such as security call centers access control and reporting tools,81.524926686217
"devise scalable recovery, purification, or fermentation processes for producing proteins or other biological substances for human or animal therapeutic use, food production or processing, biofuels, or effluent treatment.",devise scalable recovery purification or fermentation processes for producing proteins or other biological substances for human or animal therapeutic use food production or processing biofuels or effluent treatment,evaluate current or proposed manufacturing processes or practices for environmental sustainability considering factors such as greenhouse gas emissions air pollution water pollution energy use or waste creation,50.943396226415096
"diagnose diseases or study medical conditions using techniques such as gross pathology, histology, cytology, cytopathology, clinical chemistry, immunology, flow cytometry, and molecular biology.",diagnose diseases or study medical conditions using techniques such as gross pathology histology cytology cytopathology clinical chemistry immunology flow cytometry and molecular biology,diagnose diseases or study medical conditions using techniques such as gross pathology histology cytology cytopathology clinical chemistry immunology flow cytometry or molecular biology,98.6522911051213
"direct and coordinate construction, erection, or decoration activities in order to ensure that sets or exhibits meet design, budget, and schedule requirements.",direct and coordinate construction erection or decoration activities in order to ensure that sets or exhibits meet design budget and schedule requirements,direct and coordinate construction erection or decoration activities to ensure that sets or exhibits meet design budget and schedule requirements,96.98996655518395
"direct crop production operations, such as planning, tilling, planting, fertilizing, cultivating, spraying, or harvesting.",direct crop production operations such as planning tilling planting fertilizing cultivating spraying or harvesting,direct crop production operations such as planning tilling planting fertilizing cultivating spraying and harvesting,97.81659388646288
"direct rehearsals to instruct dancers in how to use dance steps, and in techniques to achieve desired effects.",direct rehearsals to instruct dancers in how to use dance steps and in techniques to achieve desired effects,direct rehearsals to instruct dancers in dance steps and in techniques to achieve desired effects,94.6341463414634
direct software programming and development of documentation.,direct software programming and development of documentation,direct aerospace research and development programs,58.18181818181818
discuss the treatment of problems with clients.,discuss the treatment of problems with clients,discuss data presentation requirements with clients,70.10309278350515
"document non-destructive testing (ndt) methods, processes, or results.",document nondestructive testing ndt methods processes or results,document nondestructive testing methods processes or results,96.7741935483871
"drive taxicabs, limousines, company cars, or privately owned vehicles to transport passengers.",drive taxicabs limousines company cars or privately owned vehicles to transport passengers,drive shuttle busses limousines company cars or privately owned vehicles to transport passengers,91.39784946236558
edit news material to ensure that it fits within available time or space.,edit news material to ensure that it fits within available time or space,test machinery to ensure that it is operating properly,58.730158730158735
edit or assist in editing videos for broadcast.,edit or assist in editing videos for broadcast,write and edit video and scripts for broadcasts,66.66666666666667
"edit or rewrite existing copy as necessary, and submit copy for approval by supervisor.",edit or rewrite existing copy as necessary and submit copy for approval by supervisor,edit or rewrite existing written material as necessary and submit written material for approval by supervisor editor or publisher,71.96261682242991
educate customers on energy efficiency or answer questions on topics such as the costs of running household appliances or the selection of energy efficient appliances.,educate customers on energy efficiency or answer questions on topics such as the costs of running household appliances or the selection of energy efficient appliances,educate customers on energy efficiency or answer questions on topics such as the costs of running household appliances or the selection of energyefficient appliances,99.69788519637463
ensure adherence to safety rules and practices.,ensure adherence to safety rules and practices,enforce safety rules and regulations,68.29268292682926
enter claims information into database systems.,enter claims information into database systems,enter insurance and claimsrelated information into database systems,81.41592920353982
enter into record-keeping systems appropriate data needed to create new title records or update existing ones.,enter into recordkeeping systems appropriate data needed to create new title records or update existing ones,enter into recordkeeping systems appropriate data needed to create new title records or to update existing ones,98.63013698630137
"establish and calculate optimum values for database parameters, using manuals and calculator.",establish and calculate optimum values for database parameters using manuals and calculator,establish and calculate optimum values for database parameters using manuals and calculators,99.4535519125683
"evaluate curricula, teaching methods, and programs to determine their effectiveness, efficiency, and utilization, and to ensure that school activities comply with federal, state, and local regulations.",evaluate curricula teaching methods and programs to determine their effectiveness efficiency and utilization and to ensure that school activities comply with federal state and local regulations,evaluate curricula teaching methods and programs to determine their effectiveness efficiency and use and to ensure compliance with federal state and local regulations,89.13649025069638
evaluate data and write reports to validate or indicate deviations from existing standards.,evaluate data and write reports to validate or indicate deviations from existing standards,calculate gas ratios to detect deviations from specifications using testing apparatus,59.42857142857143
"evaluate factors such as reporting formats required, cost constraints, or need for security restrictions to determine hardware configuration.",evaluate factors such as reporting formats required cost constraints or need for security restrictions to determine hardware configuration,evaluate factors such as reporting formats required cost constraints and need for security restrictions to determine hardware configuration,98.19494584837545
evaluate the effectiveness of distance learning programs in promoting knowledge or skill acquisition.,evaluate the effectiveness of distance learning programs in promoting knowledge or skill acquisition,evaluate the effectiveness of industrial ecology programs using statistical analysis and applications,63.681592039801
examine documents to determine degree of risk from such factors as applicant financial standing and value and condition of property.,examine documents to determine degree of risk from such factors as applicant financial standing and value and condition of property,examine documents to determine degree of risk from factors such as applicant health financial standing and value and condition of property,93.68029739776952
examine objects to be included in exhibits in order to plan where and how to display them.,examine objects to be included in exhibits in order to plan where and how to display them,examine objects to be included in exhibits to plan where and how to display them,94.67455621301775
"examine records, tax returns, and related documents pertaining to settlement of decedent's estate.",examine records tax returns and related documents pertaining to settlement of decedents estate,examine records reports or other documents to establish facts or detect discrepancies,60.33519553072626
explain and enforce safety regulations and policies.,explain and enforce safety regulations and policies,explain and enforce safety rules and regulations,78.78787878787878
"explain services or policies to clients, such as debt management program rules, the advantages and disadvantages of using services, or creditor concession policies.",explain services or policies to clients such as debt management program rules the advantages and disadvantages of using services or creditor concession policies,explain services or policies to clients such as debt management program rules advantages and disadvantages of using services or creditor concession policies,98.73417721518987
"explain the origins and physical, social, or cultural development of humans, including physical attributes, cultural traditions, beliefs, languages, resource management practices, and settlement patterns.",explain the origins and physical social or cultural development of humans including physical attributes cultural traditions beliefs languages resource management practices and settlement patterns,provide technical support and services for scientists and engineers working in fields such as agriculture environmental science resource management biology and health sciences,50.8108108108108
explain treatment procedures to patients.,explain treatment procedures to patients,explain fluid or tissue collection procedures to patients,72.16494845360825
"gather and compile geographic data from sources including censuses, field observations, satellite imagery, aerial photographs, and existing maps.",gather and compile geographic data from sources including censuses field observations satellite imagery aerial photographs and existing maps,gather and compile geographic data from sources such as censuses field observations satellite imagery aerial photographs and existing maps,94.96402877697841
gather and organize information to plan advertising campaigns.,gather and organize information to plan advertising campaigns,gather and organize information on problems or procedures,69.4915254237288
"gather historical data from sources such as archives, court records, diaries, news files, and photographs, as well as collect data sources such as books, pamphlets, and periodicals.",gather historical data from sources such as archives court records diaries news files and photographs as well as collect data sources such as books pamphlets and periodicals,gather historical data from sources such as archives court records diaries news files and photographs as well as from books pamphlets and periodicals,90.6832298136646
"gather information about events through research, interviews, experience, or attendance at political, news, sports, artistic, social, or other functions.",gather information about events through research interviews experience or attendance at political news sports artistic social or other functions,gather information and develop perspectives about news subjects through research interviews observation and experience,56.48854961832062
generate or identify sales leads for green products and technologies.,generate or identify sales leads for green products and technologies,engrave or stamp identifying symbols letters or numbers on products,59.25925925925925
help programmers and systems analysts test and debug new programs.,help programmers and systems analysts test and debug new programs,assemble gear systems and align frames and gears,54.86725663716814
identify and compile database information to create maps in response to requests.,identify and compile database information to create maps in response to requests,identify and compile database information to create requested maps,82.1917808219178
"identify key individual cultural collaborators, using reputational and positional selection techniques.",identify key individual cultural collaborators using reputational and positional selection techniques,identify defects in solid materials using ultrasonic testing techniques,58.13953488372092
"identify potential clients, using advertising campaigns, mailing lists, or personal contacts.",identify potential clients using advertising campaigns mailing lists or personal contacts,identify spatial coordinates using remote sensing and global positioning system gps data,57.6271186440678
"identify psychological, emotional, or behavioral issues and diagnose disorders, using information obtained from interviews, tests, records, and reference materials.",identify psychological emotional or behavioral issues and diagnose disorders using information obtained from interviews tests records and reference materials,identify psychological emotional or behavioral issues and diagnose disorders using information obtained from interviews tests records or reference materials,98.40255591054313
"identify, collect, record or analyze data that are relevant to the nursing care of patients.",identify collect record or analyze data that are relevant to the nursing care of patients,identify collect record or analyze data relevant to the nursing care of patients,94.67455621301775
"identify, monitor, or treat pregnancy-related problems such as hypertension, gestational diabetes, pre-term labor, and retarded fetal growth.",identify monitor or treat pregnancyrelated problems such as hypertension gestational diabetes preterm labor and retarded fetal growth,identify monitor or treat pregnancyrelated problems such as hypertension gestational diabetes preterm labor or retarded fetal growth,98.11320754716981
"implement or monitor carbon or environmental management, accounting, or audit systems.",implement or monitor carbon or environmental management accounting or audit systems,develop or implement programs for monitoring of environmental pollution or radiation,61.07784431137724
inform and advise concerned parties regarding fluctuations or securities transactions affecting plans or accounts.,inform and advise concerned parties regarding fluctuations or securities transactions affecting plans or accounts,inform customers about foreign currency regulations and compute transaction fees for currency exchanges,54.629629629629626
"inform prospective purchasers about models, numbers, and prices of garments, the garments' designers, and where garments can be purchased.",inform prospective purchasers about models numbers and prices of garments the garments designers and where garments can be purchased,inspect garments and examine repair tags and markings on garments to locate defects or damage and mark errors as necessary,51.181102362204726
"inspect facilities, machinery, and safety equipment to identify and correct potential hazards, and to ensure safety regulation compliance.",inspect facilities machinery and safety equipment to identify and correct potential hazards and to ensure safety regulation compliance,inspect facilities machinery or safety equipment to identify and correct potential hazards and to ensure safety regulation compliance,98.12734082397003
"inspect layouts and advertising copy and edit scripts, audio and video tapes, and other promotional material for adherence to specifications.",inspect layouts and advertising copy and edit scripts audio and video tapes and other promotional material for adherence to specifications,inspect layouts and advertising copy and edit scripts audio video and other promotional material for adherence to specifications,96.2406015037594
"inspect properties to evaluate construction, condition, special features, and functional design, and to take property measurements.",inspect properties to evaluate construction condition special features and functional design and to take property measurements,inspect completed work to ensure conformance to specifications standards and contract requirements,58.03571428571428
inspect public establishments to ensure compliance with rules and regulations.,inspect public establishments to ensure compliance with rules and regulations,inspect vehicles or equipment to ensure compliance with rules standards or regulations,79.75460122699387
"inspect security design features, installations, or programs to ensure compliance with applicable standards or regulations.",inspect security design features installations or programs to ensure compliance with applicable standards or regulations,inspect physical security design features installations or programs to ensure compliance with applicable standards or regulations,96.3855421686747
"instruct users in the selection, use, and design of audio-visual materials and assist them in the preparation of instructional materials and the rehearsal of presentations.",instruct users in the selection use and design of audiovisual materials and assist them in the preparation of instructional materials and the rehearsal of presentations,conduct training sessions on selection use and design of audiovisual materials and on operation of presentation equipment,64.3598615916955
insulate shells and cabinets of systems.,insulate shells and cabinets of systems,set up and maintain master key systems,57.14285714285714
"interact with clients to assist them in gaining insight, defining goals, and planning action to achieve effective personal, social, educational, and vocational development and adjustment.",interact with clients to assist them in gaining insight defining goals and planning action to achieve effective personal social educational and vocational development and adjustment,interact with clients to assist them in gaining insight defining goals and planning action to achieve effective personal social educational or vocational development and adjustment,98.61495844875347
"interpret engineering drawings, sketches, or diagrams.",interpret engineering drawings sketches or diagrams,interpret engineering sketches specifications or drawings,70.37037037037037
interpret imaging data and confer with other medical specialists to formulate diagnoses.,interpret imaging data and confer with other medical specialists to formulate diagnoses,confer with medical professionals regarding imagebased diagnoses,54.3046357615894
interview applicants and request specified information for loan applications.,interview applicants and request specified information for loan applications,interview job applicants to obtain and verify information used to screen and evaluate them,61.44578313253012
label and record contents of exposed film and note details on report forms.,label and record contents of exposed film and note details on report forms,record temperatures amounts of materials processed or test results on report forms,58.97435897435898
make many quick changes backstage during fashion shows and yet maintain poised appearance before audiences.,make many quick changes backstage during fashion shows and yet maintain poised appearance before audiences,make garment style changes such as tapering pant legs narrowing lapels and adding or removing padding,51.20772946859904
"manage security programs designed to protect personnel, facilities, and information.",manage security programs designed to protect personnel facilities and information,manage safety programs at power generation facilities,62.68656716417911
measure and record data associated with operating equipment.,measure and record data associated with operating equipment,collect and record data associated with operating geothermal power plants or well fields,66.66666666666667
"modify existing software to correct errors, to adapt it to new hardware, or to upgrade interfaces and improve performance.",modify existing software to correct errors to adapt it to new hardware or to upgrade interfaces and improve performance,modify existing software to correct errors adapt it to new hardware or upgrade interfaces and improve performance,97.41379310344827
"modify, maintain, and repair electronics equipment and systems to ensure that they function properly.",modify maintain and repair electronics equipment and systems to ensure that they function properly,modify maintain or repair electronics equipment or systems to ensure proper functioning,81.08108108108108
